,sentence,Agent,Role,Team,embedded
524,I would vote Agent[04].,Agent[04],,,"[-0.01854041  0.00415508 -0.01546058 ... -0.02405492  0.03379362
  0.01781846]"
525,Planning to vote for Agent[00].,Agent[00],,,"[ 0.0058007  -0.00256341  0.02193164 ... -0.02430553  0.01123384
  0.02297309]"
526,Planning to vote for Agent[01].,Agent[01],,,"[ 0.00322512 -0.00427667  0.0223737  ... -0.01694348  0.00908746
  0.01491827]"
527,Planning to vote for Agent[02].,Agent[02],,,"[ 0.00814481 -0.0111926   0.01423293 ... -0.01567858  0.00974695
  0.01861458]"
528,Planning to vote for Agent[03].,Agent[03],,,"[ 0.00675406 -0.01012555  0.02459379 ... -0.01335303  0.02125554
  0.02062038]"
529,Planning to vote for Agent[04].,Agent[04],,,"[ 0.00983912 -0.00089426  0.02555806 ... -0.01837817  0.02012143
  0.01551212]"
530,I would like to investigate Agent[00].,Agent[00],,,"[-0.03969604  0.00529361 -0.00071225 ... -0.04079601 -0.01190558
  0.01742161]"
531,I would like to investigate Agent[01].,Agent[01],,,"[-0.04854853  0.00801862  0.00166047 ... -0.03159087 -0.01110751
  0.01166912]"
532,I would like to investigate Agent[02].,Agent[02],,,"[-0.04191828  0.006687   -0.01198562 ... -0.03548621 -0.00851073
  0.01600174]"
533,I would like to investigate Agent[03].,Agent[03],,,"[-0.04251304  0.00802214 -0.00043256 ... -0.03106963  0.00315282
  0.01641267]"
534,I would like to investigate Agent[04].,Agent[04],,,"[-0.03670604  0.01899616 -0.00496081 ... -0.0376786   0.00442747
  0.01336476]"
535,My next target for divination is Agent[00].,Agent[00],,,"[ 0.00549599  0.02455133  0.02579658 ... -0.02779512 -0.01834047
  0.022891  ]"
536,My next target for divination is Agent[01].,Agent[01],,,"[ 0.00097973  0.02312694  0.0230377  ... -0.02323104 -0.02282948
  0.01641938]"
537,My next target for divination is Agent[02].,Agent[02],,,"[ 0.00132346  0.02163761  0.01431572 ... -0.02215954 -0.01780517
  0.02183147]"
538,My next target for divination is Agent[03].,Agent[03],,,"[-0.0023116   0.02384594  0.02419987 ... -0.01896468 -0.00956345
  0.02425886]"
539,My next target for divination is Agent[04].,Agent[04],,,"[ 0.00247738  0.03154683  0.01507238 ... -0.02352868 -0.00820802
  0.01867981]"
540,Agent[00] is my choice for divination.,Agent[00],,,"[-0.04222725  0.00843742  0.03403869 ... -0.02003787  0.00025113
  0.03930506]"
541,Agent[01] is my choice for divination.,Agent[01],,,"[-0.04235329  0.00892954  0.03466396 ... -0.01475079 -0.00622432
  0.0383536 ]"
542,Agent[02] is my choice for divination.,Agent[02],,,"[-0.03353234  0.01106101  0.02143896 ... -0.01293945 -0.0037297
  0.04294002]"
543,Agent[03] is my choice for divination.,Agent[03],,,"[-0.03713053  0.01519047  0.03274406 ... -0.00589625  0.00574566
  0.0458108 ]"
544,Agent[04] is my choice for divination.,Agent[04],,,"[-0.03167634  0.02092792  0.02897002 ... -0.01749887  0.00513972
  0.03924176]"
545,I intend to divine Agent[00].,Agent[00],,,"[-0.0148024   0.01251692  0.02110182 ... -0.01462218 -0.01542497
  0.00684416]"
546,I intend to divine Agent[01].,Agent[01],,,"[-0.01740486  0.01487705  0.02191306 ... -0.01158446 -0.01738876
  0.00371926]"
547,I intend to divine Agent[02].,Agent[02],,,"[-0.01461858  0.01711955  0.0138925  ... -0.01121403 -0.01473153
  0.00497371]"
548,I intend to divine Agent[03].,Agent[03],,,"[-0.01662404  0.01670404  0.01955205 ... -0.01004003 -0.00976803
  0.00750002]"
549,I intend to divine Agent[04].,Agent[04],,,"[-0.01605284  0.02103865  0.01857394 ... -0.01481243 -0.00928697
  0.00609331]"
550,I'm going to focus my divination on Agent[00].,Agent[00],,,"[ 0.00093463  0.01830865  0.03939874 ... -0.03221589 -0.00039066
  0.02477322]"
551,I'm going to focus my divination on Agent[01].,Agent[01],,,"[-0.01063393  0.01850847  0.0357253  ... -0.02555372 -0.00193561
  0.01674715]"
552,I'm going to focus my divination on Agent[02].,Agent[02],,,"[-1.31972146e-03  1.44277290e-02  2.43674852e-02 ... -2.52797939e-02
  5.23922536e-05  2.22485736e-02]"
553,I'm going to focus my divination on Agent[03].,Agent[03],,,"[-0.00701122  0.01943904  0.03705567 ... -0.02017668  0.00812853
  0.02231729]"
554,I'm going to focus my divination on Agent[04].,Agent[04],,,"[-0.00279007  0.02542543  0.03127743 ... -0.02845874  0.00766197
  0.01466577]"
555,I'm going to divine Agent[00] tonight.,Agent[00],,,"[-0.03030961  0.02355215  0.02572924 ... -0.01590406 -0.01576269
 -0.00089195]"
556,I'm going to divine Agent[01] tonight.,Agent[01],,,"[-0.03433658  0.02518575  0.02949532 ... -0.01125663 -0.01937904
 -0.00438302]"
557,I'm going to divine Agent[02] tonight.,Agent[02],,,"[-0.03504218  0.02302692  0.01968161 ... -0.0128725  -0.01778593
 -0.00296548]"
558,I'm going to divine Agent[03] tonight.,Agent[03],,,"[-0.03502976  0.02550751  0.02926956 ... -0.0088539  -0.01018371
 -0.00017818]"
559,I'm going to divine Agent[04] tonight.,Agent[04],,,"[-0.03290622  0.03402771  0.02506945 ... -0.01574192 -0.01149529
 -0.00305504]"
560,I will divine Agent[00] next.,Agent[00],,,"[-0.03092713  0.02576491  0.02581114 ... -0.01289786 -0.02474787
  0.01053248]"
561,I will divine Agent[01] next.,Agent[01],,,"[-0.03026325  0.02897033  0.0306842  ... -0.0087798  -0.03038352
  0.00906544]"
562,I will divine Agent[02] next.,Agent[02],,,"[-0.02581913  0.03103709  0.02478155 ... -0.00963142 -0.0274582
  0.0107517 ]"
563,I will divine Agent[03] next.,Agent[03],,,"[-0.02735745  0.03115046  0.02929875 ... -0.00673483 -0.02162314
  0.0131262 ]"
564,I will divine Agent[04] next.,Agent[04],,,"[-0.02766963  0.03808678  0.0265503  ... -0.01064848 -0.0229834
  0.01046192]"
565,I can tell the Agent[00]'s role tomorrow.,Agent[00],,,"[-0.01819225  0.0117923  -0.03933085 ... -0.02377918 -0.00199434
  0.02015185]"
566,I can tell the Agent[01]'s role tomorrow.,Agent[01],,,"[-0.0206762   0.01173791 -0.03731002 ... -0.02000702 -0.00264257
  0.01982948]"
567,I can tell the Agent[02]'s role tomorrow.,Agent[02],,,"[-0.01897786  0.00925505 -0.04543994 ... -0.01748101 -0.00214503
  0.02072863]"
568,I can tell the Agent[03]'s role tomorrow.,Agent[03],,,"[-0.02576196  0.00752979 -0.03624648 ... -0.01352775  0.00559969
  0.02475436]"
569,I can tell the Agent[04]'s role tomorrow.,Agent[04],,,"[-0.0230035   0.01350088 -0.04019872 ... -0.01811374  0.00359641
  0.01918084]"
570,I will unmask Agent[00]'s true nature.,Agent[00],,,"[-0.02425519  0.02326136 -0.00631946 ... -0.00965743 -0.02076959
  0.0006513 ]"
571,I will unmask Agent[01]'s true nature.,Agent[01],,,"[-0.02502884  0.02411332 -0.00756358 ... -0.00586283 -0.02169072
 -0.00075134]"
572,I will unmask Agent[02]'s true nature.,Agent[02],,,"[-0.02269118  0.02121102 -0.01508091 ... -0.00542843 -0.02139255
  0.00282069]"
573,I will unmask Agent[03]'s true nature.,Agent[03],,,"[-0.02474782  0.02280899 -0.00667166 ...  0.00039231 -0.01290709
  0.00261223]"
574,I will unmask Agent[04]'s true nature.,Agent[04],,,"[-0.02098564  0.02925605 -0.01242625 ... -0.00576589 -0.01436657
 -0.00342995]"
575,I might investigate Agent[00] next.,Agent[00],,,"[-6.58012107e-02  9.67224501e-03  5.36682783e-05 ... -2.07749512e-02
 -1.71987992e-02  1.57433879e-02]"
576,I might investigate Agent[01] next.,Agent[01],,,"[-0.07022854  0.01421367 -0.00292553 ... -0.01535457 -0.02044107
  0.01106036]"
577,I might investigate Agent[02] next.,Agent[02],,,"[-0.06365532  0.0177012  -0.01462818 ... -0.01480065 -0.01883006
  0.01545915]"
578,I might investigate Agent[03] next.,Agent[03],,,"[-0.0639628   0.01783338 -0.0044193  ... -0.00861999 -0.00767913
  0.01713066]"
579,I might investigate Agent[04] next.,Agent[04],,,"[-0.05756234  0.03287961 -0.01269442 ... -0.01599466 -0.00656594
  0.01122082]"
580,I investigated Agent[00] and discovered he is a BLACK.,Agent[00],,BLACK,"[-0.01755183 -0.00917835 -0.02304472 ... -0.02372251 -0.02352482
  0.01914745]"
581,I investigated Agent[00] and discovered he is a WHITE.,Agent[00],,WHITE,"[-0.02461591 -0.00317607 -0.01004525 ... -0.04127632 -0.01730896
  0.01717925]"
582,I investigated Agent[01] and discovered he is a BLACK.,Agent[01],,BLACK,"[-0.01605684 -0.00280469 -0.02371364 ... -0.01974501 -0.02145587
  0.01632329]"
583,I investigated Agent[01] and discovered he is a WHITE.,Agent[01],,WHITE,"[-0.02298258  0.00188152 -0.0106188  ... -0.03640328 -0.0167404
  0.01485356]"
584,I investigated Agent[02] and discovered he is a BLACK.,Agent[02],,BLACK,"[-0.0139135  -0.00265787 -0.03217497 ... -0.02065987 -0.02241308
  0.02009884]"
585,I investigated Agent[02] and discovered he is a WHITE.,Agent[02],,WHITE,"[-0.02066966  0.00202512 -0.01956312 ... -0.037282   -0.01788912
  0.0185417 ]"
586,I investigated Agent[03] and discovered he is a BLACK.,Agent[03],,BLACK,"[-0.01339187 -0.00504206 -0.0226438  ... -0.01576254 -0.01450378
  0.0226438 ]"
587,I investigated Agent[03] and discovered he is a WHITE.,Agent[03],,WHITE,"[-0.02014936  0.00177689 -0.01150683 ... -0.03170582 -0.00897575
  0.02024862]"
588,I investigated Agent[04] and discovered he is a BLACK.,Agent[04],,BLACK,"[-0.01219521  0.0032015  -0.02786089 ... -0.02228039 -0.01603355
  0.01896262]"
589,I investigated Agent[04] and discovered he is a WHITE.,Agent[04],,WHITE,"[-0.01902986  0.01005884 -0.01568162 ... -0.03862483 -0.0111608
  0.01717915]"
590,"When I looked into Agent[00], it was revealed that he is BLACK.",Agent[00],,BLACK,"[-0.02444457 -0.00916142 -0.03534801 ... -0.00443261 -0.0042845
  0.01222229]"
591,"When I looked into Agent[00], it was revealed that he is WHITE.",Agent[00],,WHITE,"[-0.02774224 -0.00340688 -0.0251629  ... -0.02077802  0.00418068
  0.00760906]"
592,"When I looked into Agent[01], it was revealed that he is BLACK.",Agent[01],,BLACK,"[-0.02328316 -0.00311393 -0.03771509 ...  0.00051449 -0.00748039
  0.00936615]"
593,"When I looked into Agent[01], it was revealed that he is WHITE.",Agent[01],,WHITE,"[-0.02774609  0.00141891 -0.02611645 ... -0.01625429  0.00112477
  0.00456581]"
594,"When I looked into Agent[02], it was revealed that he is BLACK.",Agent[02],,BLACK,"[-0.02043136 -0.00289421 -0.04792982 ... -0.0026072  -0.00569218
  0.0128899 ]"
595,"When I looked into Agent[02], it was revealed that he is WHITE.",Agent[02],,WHITE,"[-0.0238106   0.00163461 -0.03611578 ... -0.01821223  0.00145308
  0.00867115]"
596,"When I looked into Agent[03], it was revealed that he is BLACK.",Agent[03],,BLACK,"[-0.02346668 -0.00044724 -0.03921224 ...  0.00166917  0.00160282
  0.01451846]"
597,"When I looked into Agent[03], it was revealed that he is WHITE.",Agent[03],,WHITE,"[-0.02682035  0.00226457 -0.027015   ... -0.01429307  0.00912782
  0.00992033]"
598,"When I looked into Agent[04], it was revealed that he is BLACK.",Agent[04],,BLACK,"[-0.0220505   0.00730199 -0.04473415 ... -0.00460418  0.00133858
  0.0095387 ]"
599,"When I looked into Agent[04], it was revealed that he is WHITE.",Agent[04],,WHITE,"[-0.0257893   0.00959634 -0.03227482 ... -0.02117861  0.00880475
  0.00520091]"
600,My divination revealed that Agent[00] is a BLACK.,Agent[00],,BLACK,"[ 0.00094678 -0.00096296 -0.0047366  ... -0.0087467  -0.01592532
  0.02966397]"
601,My divination revealed that Agent[00] is a WHITE.,Agent[00],,WHITE,"[-0.00382922 -0.00068972  0.00692907 ... -0.02666599 -0.00843159
  0.03066297]"
602,My divination revealed that Agent[01] is a BLACK.,Agent[01],,BLACK,"[-0.0014852   0.00189392 -0.0036233  ... -0.00378784 -0.01561345
  0.02293706]"
603,My divination revealed that Agent[01] is a WHITE.,Agent[01],,WHITE,"[-0.00618592  0.00114679  0.00747982 ... -0.02236147 -0.00982657
  0.02535339]"
604,My divination revealed that Agent[02] is a BLACK.,Agent[02],,BLACK,"[ 0.00359622 -0.00213167 -0.01337723 ... -0.00695616 -0.01551064
  0.02851956]"
605,My divination revealed that Agent[02] is a WHITE.,Agent[02],,WHITE,"[-0.00141792 -0.00293625 -0.00081024 ... -0.0242791  -0.01055429
  0.0311415 ]"
606,My divination revealed that Agent[03] is a BLACK.,Agent[03],,BLACK,"[ 0.00171864 -0.00122413 -0.0026478  ... -0.00035006 -0.00374092
  0.03048262]"
607,My divination revealed that Agent[03] is a WHITE.,Agent[03],,WHITE,"[-0.00093399 -0.0020942   0.00815765 ... -0.01890256 -0.00124326
  0.03254577]"
608,My divination revealed that Agent[04] is a BLACK.,Agent[04],,BLACK,"[ 0.00669821  0.00828517 -0.01101254 ... -0.00756382 -0.00661233
  0.02580356]"
609,My divination revealed that Agent[04] is a WHITE.,Agent[04],,WHITE,"[ 0.0005169   0.0073064   0.00043308 ... -0.02536982 -0.00229984
  0.02782857]"
610,"After performing a divination on Agent[00], it was clear that he is BLACK.",Agent[00],,BLACK,"[-0.00154681  0.0220347   0.00154863 ... -0.0091641  -0.01165942
  0.00651556]"
611,"After performing a divination on Agent[00], it was clear that he is WHITE.",Agent[00],,WHITE,"[-0.0029792   0.02640977  0.01894614 ... -0.02514375 -0.00717289
  0.00479174]"
612,"After performing a divination on Agent[01], it was clear that he is BLACK.",Agent[01],,BLACK,"[-0.00057062  0.02342068  0.00035845 ... -0.00764698 -0.01149954
  0.00312748]"
613,"After performing a divination on Agent[01], it was clear that he is WHITE.",Agent[01],,WHITE,"[-0.00173447  0.0275757   0.01862312 ... -0.02326792 -0.0076998
  0.001283  ]"
614,"After performing a divination on Agent[02], it was clear that he is BLACK.",Agent[02],,BLACK,"[ 0.00175133  0.02098699 -0.00600094 ... -0.00891983 -0.01250227
  0.00556583]"
615,"After performing a divination on Agent[02], it was clear that he is WHITE.",Agent[02],,WHITE,"[ 0.00079015  0.02565013  0.0122916  ... -0.02410089 -0.00873274
  0.00377444]"
616,"After performing a divination on Agent[03], it was clear that he is BLACK.",Agent[03],,BLACK,"[ 0.00173973  0.02298276 -0.00076051 ... -0.00461167 -0.00523088
  0.00555849]"
617,"After performing a divination on Agent[03], it was clear that he is WHITE.",Agent[03],,WHITE,"[ 0.00091376  0.02800371  0.01604576 ... -0.0202645  -0.00182024
  0.00392779]"
618,"After performing a divination on Agent[04], it was clear that he is BLACK.",Agent[04],,BLACK,"[ 0.00260107  0.02769201 -0.00498657 ... -0.00841395 -0.00771697
  0.00166429]"
619,"After performing a divination on Agent[04], it was clear that he is WHITE.",Agent[04],,WHITE,"[ 1.29213219e-03  3.26020494e-02  1.21967113e-02 ... -2.48583350e-02
 -4.24596621e-03  5.54184408e-05]"
620,I divined Agent[00] and the results showed he is a BLACK.,Agent[00],,BLACK,"[ 0.01377683 -0.00425407 -0.00377258 ... -0.01868395 -0.01087683
  0.01791652]"
621,I divined Agent[00] and the results showed he is a WHITE.,Agent[00],,WHITE,"[ 0.00374541 -0.00031992  0.00674212 ... -0.03424803 -0.00266312
  0.01924413]"
622,I divined Agent[01] and the results showed he is a BLACK.,Agent[01],,BLACK,"[ 0.01457398  0.00033077 -0.00488605 ... -0.0148375  -0.01311
  0.01390055]"
623,I divined Agent[01] and the results showed he is a WHITE.,Agent[01],,WHITE,"[ 0.00560303  0.00468456  0.00724078 ... -0.02936148 -0.00572475
  0.01472501]"
624,I divined Agent[02] and the results showed he is a BLACK.,Agent[02],,BLACK,"[ 0.01744567  0.00058167 -0.01163532 ... -0.01453319 -0.01261344
  0.01608798]"
625,I divined Agent[02] and the results showed he is a WHITE.,Agent[02],,WHITE,"[ 0.00854571  0.0048249   0.00033376 ... -0.02898622 -0.00560513
  0.01694421]"
626,I divined Agent[03] and the results showed he is a BLACK.,Agent[03],,BLACK,"[ 0.01612311  0.00064325 -0.00545941 ... -0.01266087 -0.00643612
  0.01756632]"
627,I divined Agent[03] and the results showed he is a WHITE.,Agent[03],,WHITE,"[ 0.00717915  0.00535133  0.00654051 ... -0.02686675  0.0006313
  0.01821948]"
628,I divined Agent[04] and the results showed he is a BLACK.,Agent[04],,BLACK,"[ 0.01777301  0.00395807 -0.00789425 ... -0.01606575 -0.00632562
  0.01497135]"
629,I divined Agent[04] and the results showed he is a WHITE.,Agent[04],,WHITE,"[ 0.00860307  0.00888249  0.00410668 ... -0.0305887   0.00021232
  0.01585318]"
630,"Anya divined Agent[00], and he was the BLACK!",Agent[00],,BLACK,"[ 0.00618222 -0.00490776 -0.01758906 ... -0.02455991  0.00661878
  0.0231939 ]"
631,"Anya divined Agent[00], and he was the WHITE!",Agent[00],,WHITE,"[ 0.00018516 -0.00480543 -0.00869762 ... -0.03510937  0.01124167
  0.0236865 ]"
632,"Anya divined Agent[01], and he was the BLACK!",Agent[01],,BLACK,"[ 0.00571959 -0.00294593 -0.01921231 ... -0.01958443  0.00147641
  0.02065944]"
633,"Anya divined Agent[01], and he was the WHITE!",Agent[01],,WHITE,"[-0.0002096  -0.00281984 -0.01105876 ... -0.02966081  0.00574287
  0.02144858]"
634,"Anya divined Agent[02], and he was the BLACK!",Agent[02],,BLACK,"[ 0.00891204 -0.00321613 -0.02749488 ... -0.01939679  0.0024315
  0.02530136]"
635,"Anya divined Agent[02], and he was the WHITE!",Agent[02],,WHITE,"[ 0.00314866 -0.00302619 -0.01769211 ... -0.02947738  0.00746164
  0.02543063]"
636,"Anya divined Agent[03], and he was the BLACK!",Agent[03],,BLACK,"[ 0.00679015 -0.00399645 -0.02093542 ... -0.0178575   0.00851975
  0.02634258]"
637,"Anya divined Agent[03], and he was the WHITE!",Agent[03],,WHITE,"[ 0.00159363 -0.00447755 -0.01054425 ... -0.02859046  0.01448851
  0.02642864]"
638,"Anya divined Agent[04], and he was the BLACK!",Agent[04],,BLACK,"[ 0.00815648  0.00093966 -0.0248307  ... -0.02170429  0.00714213
  0.02363572]"
639,"Anya divined Agent[04], and he was the WHITE!",Agent[04],,WHITE,"[ 0.00213661  0.00052339 -0.01603085 ... -0.03171726  0.01142396
  0.02471363]"
640,"I divined Agent[00]. What he said was true, he is the BLACK.",Agent[00],,BLACK,"[ 0.00232037  0.00088904 -0.01995343 ... -0.00753642 -0.01664408
  0.02379117]"
641,"I divined Agent[00]. What he said was true, he is the WHITE.",Agent[00],,WHITE,"[-0.00638808  0.00192626 -0.01196842 ... -0.0242178  -0.01021249
  0.02343114]"
642,"I divined Agent[01]. What he said was true, he is the BLACK.",Agent[01],,BLACK,"[-0.00061381  0.00221349 -0.01894242 ... -0.00263184 -0.02028663
  0.02032778]"
643,"I divined Agent[01]. What he said was true, he is the WHITE.",Agent[01],,WHITE,"[-0.0097024   0.00495176 -0.00875921 ... -0.01937707 -0.01321857
  0.01932158]"
644,"I divined Agent[02]. What he said was true, he is the BLACK.",Agent[02],,BLACK,"[ 0.00144644  0.00377242 -0.0256717  ... -0.00352505 -0.02077924
  0.02359653]"
645,"I divined Agent[02]. What he said was true, he is the WHITE.",Agent[02],,WHITE,"[-0.00734987  0.00529745 -0.01474134 ... -0.01951182 -0.01384687
  0.02206347]"
646,"I divined Agent[03]. What he said was true, he is the BLACK.",Agent[03],,BLACK,"[ 0.0010228   0.00291144 -0.01991091 ... -0.00143847 -0.0135982
  0.02599595]"
647,"I divined Agent[03]. What he said was true, he is the WHITE.",Agent[03],,WHITE,"[-0.00706259  0.00433656 -0.01048582 ... -0.01720679 -0.00745302
  0.02484806]"
648,"I divined Agent[04]. What he said was true, he is the BLACK.",Agent[04],,BLACK,"[ 0.00219172  0.00763566 -0.02256899 ... -0.00650445 -0.01367107
  0.02185164]"
649,"I divined Agent[04]. What he said was true, he is the WHITE.",Agent[04],,WHITE,"[-0.00599192  0.00798923 -0.01317106 ... -0.02227766 -0.00779369
  0.02170501]"
650,"According to my ability, Agent[00] is BLACK.",Agent[00],,BLACK,"[ 0.00083307 -0.00028013  0.00656582 ... -0.01049946 -0.0150619
  0.02756474]"
651,"According to my ability, Agent[00] is WHITE.",Agent[00],,WHITE,"[-0.00623517 -0.00163166  0.01537762 ... -0.03075525 -0.00911294
  0.02432085]"
652,"According to my ability, Agent[01] is BLACK.",Agent[01],,BLACK,"[-0.00058809  0.00078456  0.01047621 ... -0.00770247 -0.01916016
  0.02039768]"
653,"According to my ability, Agent[01] is WHITE.",Agent[01],,WHITE,"[-0.00928606 -0.00055925  0.018903   ... -0.02796608 -0.01076061
  0.0204279 ]"
654,"According to my ability, Agent[02] is BLACK.",Agent[02],,BLACK,"[ 2.07520928e-03 -5.60919289e-05 -4.65208839e-04 ... -9.00370162e-03
 -1.87524408e-02  2.52609719e-02]"
655,"According to my ability, Agent[02] is WHITE.",Agent[02],,WHITE,"[-0.00544231 -0.00106488  0.00891924 ... -0.02987373 -0.01293575
  0.02286984]"
656,"According to my ability, Agent[03] is BLACK.",Agent[03],,BLACK,"[-0.00377487  0.0012398   0.0144268  ...  0.00026813 -0.00402533
  0.02885359]"
657,"According to my ability, Agent[03] is WHITE.",Agent[03],,WHITE,"[-0.01129411  0.00071549  0.02285172 ... -0.02108038  0.00093096
  0.02670182]"
658,"According to my ability, Agent[04] is BLACK.",Agent[04],,BLACK,"[ 0.00042056  0.01052639  0.00680702 ... -0.00814855 -0.00501122
  0.02375004]"
659,"According to my ability, Agent[04] is WHITE.",Agent[04],,WHITE,"[-0.00472181  0.00862645  0.01082924 ... -0.03226035 -0.00509841
  0.01973992]"
660,The God says Agent[00] is the BLACK.,Agent[00],,BLACK,"[ 0.00029171  0.00408488 -0.00670222 ...  0.00549945 -0.01590076
  0.03561408]"
661,The God says Agent[00] is the WHITE.,Agent[00],,WHITE,"[-0.00599085  0.00610788  0.00180537 ... -0.01334069 -0.01333314
  0.03636037]"
662,The God says Agent[01] is the BLACK.,Agent[01],,BLACK,"[ 0.00136994  0.01098189 -0.00515195 ...  0.01014    -0.01992238
  0.03001022]"
663,The God says Agent[01] is the WHITE.,Agent[01],,WHITE,"[-0.00159062  0.01057585  0.00140784 ... -0.00955667 -0.01782828
  0.03181617]"
664,The God says Agent[02] is the BLACK.,Agent[02],,BLACK,"[ 0.00357953  0.0127636  -0.01377516 ...  0.01030906 -0.01782143
  0.03269742]"
665,The God says Agent[02] is the WHITE.,Agent[02],,WHITE,"[-0.00267266  0.011906   -0.00113002 ... -0.00696955 -0.01117078
  0.03547041]"
666,The God says Agent[03] is the BLACK.,Agent[03],,BLACK,"[ 0.00310285  0.0128251  -0.00955972 ...  0.01467203 -0.01044625
  0.03469278]"
667,The God says Agent[03] is the WHITE.,Agent[03],,WHITE,"[-0.00299127  0.01174075  0.00235002 ... -0.00343623 -0.00458039
  0.03691232]"
668,The God says Agent[04] is the BLACK.,Agent[04],,BLACK,"[ 0.00461914  0.01780039 -0.01188408 ...  0.01003936 -0.01142106
  0.03271979]"
669,The God says Agent[04] is the WHITE.,Agent[04],,WHITE,"[-0.00220115  0.01621001  0.00039306 ... -0.0073012  -0.00582756
  0.03521844]"
670,I revealed Agent[00]'s true nature is BLACK.,Agent[00],,BLACK,"[ 0.01727648 -0.00841745 -0.03378021 ... -0.00983876 -0.01766285
  0.03303506]"
671,I revealed Agent[00]'s true nature is WHITE.,Agent[00],,WHITE,"[ 0.00906137 -0.00916715 -0.02489233 ... -0.02792454 -0.01315838
  0.0311683 ]"
672,I revealed Agent[01]'s true nature is BLACK.,Agent[01],,BLACK,"[ 0.01341217 -0.00549851 -0.03481601 ... -0.00829696 -0.01831708
  0.02990432]"
673,I revealed Agent[01]'s true nature is WHITE.,Agent[01],,WHITE,"[ 0.00612274 -0.00625212 -0.02450494 ... -0.02661696 -0.01485403
  0.02863106]"
674,I revealed Agent[02]'s true nature is BLACK.,Agent[02],,BLACK,"[ 0.01438421 -0.00507127 -0.0403293  ... -0.00817558 -0.01821107
  0.03468267]"
675,I revealed Agent[02]'s true nature is WHITE.,Agent[02],,WHITE,"[ 0.00893298 -0.00665812 -0.02957316 ... -0.02495409 -0.01412077
  0.03317964]"
676,I revealed Agent[03]'s true nature is BLACK.,Agent[03],,BLACK,"[ 0.01339731 -0.0055325  -0.03342959 ... -0.00112007 -0.01166149
  0.03562785]"
677,I revealed Agent[03]'s true nature is WHITE.,Agent[03],,WHITE,"[ 0.00633061 -0.00622366 -0.02359746 ... -0.01904357 -0.00691709
  0.03414042]"
678,I revealed Agent[04]'s true nature is BLACK.,Agent[04],,BLACK,"[ 0.01120978  0.00520759 -0.04300038 ... -0.00713827 -0.01411894
  0.03451588]"
679,I revealed Agent[04]'s true nature is WHITE.,Agent[04],,WHITE,"[ 0.0088032   0.00066874 -0.0288772  ... -0.02473052 -0.00871482
  0.02942103]"
680,I’m on the same page as Agent[00].,Agent[00],,,"[-0.02202867 -0.0079636   0.00693745 ... -0.00576866 -0.00711177
  0.00979404]"
681,I’m on the same page as Agent[01].,Agent[01],,,"[-0.02712169 -0.00627151  0.00572816 ... -0.00033553 -0.01422664
  0.00212175]"
682,I’m on the same page as Agent[02].,Agent[02],,,"[-0.01930214 -0.00704452 -0.00902793 ... -0.00171933 -0.01234881
  0.00857197]"
683,I’m on the same page as Agent[03].,Agent[03],,,"[-0.02251506 -0.00950703  0.00342743 ...  0.00283513 -0.00049421
  0.00702464]"
684,I’m on the same page as Agent[04].,Agent[04],,,"[-0.01782132  0.0031963  -0.00144358 ... -0.00598416 -0.0013574
  0.00494246]"
685,I’m in agreement with Agent[00].,Agent[00],,,"[-3.83116268e-02  6.27236068e-03 -2.28935317e-03 ... -5.68201503e-05
  1.61033422e-02  3.72214578e-02]"
686,I’m in agreement with Agent[01].,Agent[01],,,"[-0.03864446  0.00538316 -0.00086132 ...  0.00630792  0.01124749
  0.03112608]"
687,I’m in agreement with Agent[02].,Agent[02],,,"[-0.03063776  0.00480408 -0.01145154 ...  0.00188382  0.0117224
  0.03596475]"
688,I’m in agreement with Agent[03].,Agent[03],,,"[-0.03593479  0.00162745 -0.00027    ...  0.00620712  0.02452953
  0.03432041]"
689,I’m in agreement with Agent[04].,Agent[04],,,"[-0.03191322  0.0117328  -0.00557215 ... -0.00130458  0.02249718
  0.03277735]"
690,I support Agent[00]'s viewpoint.,Agent[00],,,"[-0.01309994 -0.00370436  0.0252006  ...  0.00915747 -0.00483246
  0.01235048]"
691,I support Agent[01]'s viewpoint.,Agent[01],,,"[-0.01350513 -0.00368216  0.02574028 ...  0.01207253 -0.00548259
  0.0091996 ]"
692,I support Agent[02]'s viewpoint.,Agent[02],,,"[-0.00974147 -0.00113959  0.01966806 ...  0.01170057 -0.00691853
  0.01269554]"
693,I support Agent[03]'s viewpoint.,Agent[03],,,"[-0.01405426 -0.00101049  0.02505391 ...  0.01568184 -0.00043293
  0.01306691]"
694,I support Agent[04]'s viewpoint.,Agent[04],,,"[-0.01114022  0.0057275   0.02148197 ...  0.01092525 -0.00255089
  0.00955863]"
695,I back Agent[00]'s opinion.,Agent[00],,,"[ 0.00679044 -0.00140802 -0.00883556 ... -0.00449767  0.01180737
  0.01906115]"
696,I back Agent[01]'s opinion.,Agent[01],,,"[ 0.00683313 -0.00067675 -0.00533557 ... -0.00055914  0.00693898
  0.01655947]"
697,I back Agent[02]'s opinion.,Agent[02],,,"[ 0.00961175 -0.00092509 -0.01206843 ...  0.00119187  0.00745448
  0.01966878]"
698,I back Agent[03]'s opinion.,Agent[03],,,"[ 0.00612115  0.000843   -0.00852808 ...  0.00512915  0.01303435
  0.0211318 ]"
